,final objective value,first objective value,final shared job order,final schedule,time,,gurobi,Gap,,¶i¨B
0,458.616523,640.803276,"[8, 9, 1, 2, 10, 5, 3, 4, 7, 6]","[[8, 2, 3, 4, 6, 'M'], [9, 1, 10, 5, 7, 'M'], ['M', 8, 1, 10, 3, 4, 6], [9, 2, 5, 7, 'M']]",339.5964038,,217.43,0.525900204,,0.715690041
1,471.316661,568.1682821,"[6, 4, 7, 8, 1, 5, 2, 3, 10, 9]","[[6, 8, 1, 3, 9, 'M'], [4, 7, 5, 2, 10, 'M'], [4, 7, 5, 'M', 10, 9], [6, 8, 1, 2, 3, 'M']]",546.2237961,,187,0.603239148,,0.829537086
2,459.0143633,597.0531669,"[4, 6, 8, 9, 1, 7, 5, 2, 3, 10]","[[4, 8, 1, 5, 3, 10, 'M'], [6, 9, 7, 2, 'M'], [6, 9, 7, 2, 3, 10, 'M'], [4, 8, 1, 5, 'M']]",246.1785052,,319.22,0.304553353,,0.768799813
3,401.8777634,567.0654492,"[3, 8, 2, 5, 1, 4, 6, 7, 9, 10]","[[2, 5, 6, 7, 10, 'M'], [3, 8, 1, 4, 9, 'M'], [3, 8, 4, 9, 'M'], ['M', 2, 5, 1, 6, 7, 10]]",221.6338491,,279.91,0.30349468,,0.708697319
4,430.5787647,570.6046259,"[1, 6, 10, 2, 8, 4, 3, 9, 5, 7]","[[8, 4, 3, 9, 7, 'M'], [1, 6, 10, 2, 5, 'M'], ['M', 8, 4, 3, 9, 5, 7], [1, 6, 10, 2, 'M']]",233.234669,,258.71,0.39915755,,0.754600901
5,346.7210768,366.2639208,"[5, 10, 4, 3, 1, 2, 8, 9, 7, 6]","[[5, 8, 9, 7, 6, 'M'], [10, 4, 3, 1, 2, 'M'], ['M', 8, 9, 7], ['M', 5, 10, 4, 3, 1, 2, 6]]",244.5618272,,212.39,0.387432682,,0.946642727
6,468.8214104,602.6650775,"[4, 10, 9, 6, 8, 7, 5, 1, 3, 2]","[[4, 6, 7, 1, 2, 'M'], [10, 'M', 9, 8, 5, 3], ['M', 10, 6, 8, 7, 3, 2], [4, 9, 5, 1, 'M']]",257.4866579,,329.78,0.296576494,,0.777913684
7,356.1157618,563.4891685,"[10, 6, 2, 8, 7, 9, 5, 4, 1, 3]","[[2, 8, 7, 9, 5, 4, 'M'], [10, 6, 1, 3, 'M'], [2, 8, 7, 5, 4, 'M'], ['M', 10, 6, 9, 1, 3]]",227.0608728,,244.25,0.314127522,,0.631983331
8,392.2278179,463.6128637,"[5, 4, 2, 9, 8, 3, 10, 1, 6, 7]","[[4, 8, 3, 'M', 6], [5, 2, 9, 10, 1, 7, 'M'], ['M', 4, 2, 9, 10, 1, 6, 7], [5, 8, 3, 'M']]",226.6625915,,177.99,0.546207607,,0.84602445
9,409.4610392,522.130304,"[9, 1, 6, 4, 3, 7, 5, 2, 10, 8]","[[1, 3, 7, 2, 10, 'M'], [9, 6, 4, 5, 8, 'M'], [6, 4, 3, 5, 8, 'M'], ['M', 9, 1, 7, 2, 10]]",221.7286859,,275.78,0.326480486,,0.784212362
10,442.4994866,574.2714043,"[1, 9, 6, 3, 5, 4, 8, 7, 10, 2]","[[9, 6, 5, 7, 10, 'M'], [1, 3, 4, 8, 2, 'M'], ['M', 1, 3, 4, 8, 10], ['M', 9, 6, 5, 7, 2]]",225.8232584,,305.77,0.308993549,,0.770540694
11,425.3232975,536.1692796,"[7, 1, 8, 3, 10, 9, 4, 6, 2, 5]","[[8, 9, 4, 2, 'M'], [7, 1, 3, 10, 6, 5, 'M'], ['M', 8, 9, 4, 6, 5], [7, 1, 3, 10, 2, 'M']]",225.4750609,,165.32,0.611307443,,0.793263086
12,367.8117168,480.9862734,"[3, 1, 5, 7, 4, 8, 9, 6, 2, 10]","[[3, 1, 7, 9, 6, 'M', 10], [5, 4, 8, 2, 'M'], [1, 4, 9, 2, 'M'], ['M', 3, 5, 7, 8, 6, 10]]",223.3446646,,231.47,0.370683452,,0.764703147
13,448.2450727,606.5412601,"[9, 2, 4, 6, 1, 7, 10, 5, 8, 3]","[[2, 7, 10, 3, 'M'], [9, 4, 6, 1, 5, 8, 'M'], [9, 4, 6, 1, 5, 3, 'M'], ['M', 2, 7, 10, 8]]",221.187912,,280.26,0.374761671,,0.73901827
14,366.2348664,515.9606314,"[9, 1, 4, 2, 10, 8, 7, 6, 3, 5]","[[9, 1, 8, 6, 3, 'M'], [4, 2, 10, 7, 5, 'M'], ['M', 4, 2, 8, 7, 5], ['M', 9, 1, 10, 6, 3]]",225.1676934,,200.03,0.453820435,,0.709811649
15,496.1959726,654.1881379,"[8, 10, 3, 6, 7, 5, 1, 9, 4, 2]","[[8, 10, 7, 5, 4, 'M'], [3, 6, 1, 9, 'M', 2], [3, 6, 1, 9, 'M'], ['M', 8, 10, 7, 5, 4, 2]]",224.9301538,,239.57,0.51718673,,0.758491241
16,416.6285481,539.7659384,"[3, 6, 10, 1, 7, 9, 8, 5, 4, 2]","[[6, 7, 9, 4, 'M'], [3, 10, 1, 8, 5, 2, 'M'], ['M', 6, 7, 9, 8, 5], [3, 10, 1, 4, 2, 'M']]",222.6091988,,239.58,0.424955392,,0.771868913
17,403.1030782,543.1382341,"[8, 9, 7, 4, 1, 3, 2, 5, 10, 6]","[[8, 7, 4, 3, 2, 'M', 6], [9, 1, 5, 10, 'M'], ['M', 9, 1, 2, 5, 6], [8, 7, 4, 3, 10, 'M']]",224.2038169,,245,0.392215011,,0.742174005
18,471.4983915,535.6556498,"[8, 1, 4, 10, 6, 7, 9, 2, 5, 3]","[[1, 10, 9, 2, 3, 'M'], [8, 4, 6, 7, 5, 'M'], ['M', 4, 10, 6, 2, 3], ['M', 8, 1, 7, 9, 5]]",222.7566094,,305.07,0.352977644,,0.880226675
19,366.8214568,478.2520962,"[5, 4, 10, 3, 9, 7, 2, 1, 8, 6]","[[5, 3, 9, 2, 1, 'M'], [4, 10, 7, 8, 6, 'M'], ['M', 10, 9, 7, 1, 6], ['M', 5, 4, 3, 2, 8]]",223.8410933,,147.71,0.597324537,,0.767004389
20,367.4824198,585.9083988,"[2, 7, 4, 5, 9, 6, 3, 10, 1, 8]","[[2, 5, 1, 8, 'M'], [7, 4, 9, 6, 3, 10, 'M'], [2, 5, 3, 1, 8, 'M'], [7, 4, 9, 6, 10, 'M']]",216.5125747,,226.34,0.38407938,,0.627201147
21,493.7004775,656.2009543,"[6, 7, 3, 2, 8, 4, 5, 9, 1, 10]","[[6, 3, 5, 9, 'M'], [7, 2, 8, 4, 1, 10, 'M'], ['M', 3, 8, 5, 1], [6, 7, 2, 4, 9, 10, 'M']]",222.4920845,,322.75,0.346263545,,0.752361718
22,397.5442819,513.8017257,"[6, 9, 8, 2, 3, 7, 1, 5, 4, 10]","[[6, 8, 2, 1, 5, 4, 'M'], [9, 3, 7, 10, 'M'], [9, 8, 1, 5, 4, 10, 'M'], [6, 'M', 2, 3, 7]]",220.6187155,,207.31,0.478523502,,0.77373092
23,437.033632,532.5932682,"[1, 9, 6, 8, 3, 7, 2, 4, 5, 10]","[[8, 3, 2, 5, 10, 'M'], [1, 9, 6, 7, 4, 'M'], [1, 'M', 6, 8, 3, 5], ['M', 9, 7, 2, 4, 10]]",227.3548732,,277.4,0.365266241,,0.82057671
24,444.1019604,558.7226469,"[8, 1, 5, 2, 4, 10, 6, 9, 7, 3]","[[8, 5, 6, 9, 3, 'M'], [1, 2, 4, 10, 7, 'M'], ['M', 8, 2, 4, 6, 7, 3], [1, 5, 10, 9, 'M']]",223.1065276,,220.04,0.504528195,,0.794852263
25,389.4803724,568.2336664,"[1, 2, 5, 3, 9, 8, 6, 10, 4, 7]","[[2, 9, 8, 4, 7, 'M'], [1, 5, 3, 6, 10, 'M'], ['M', 1, 2, 5, 3, 6, 4], ['M', 9, 8, 10, 7]]",222.1145864,,250.39,0.357117797,,0.685422909
26,517.3056513,627.170885,"[2, 5, 4, 3, 1, 9, 10, 6, 7, 8]","[[5, 3, 9, 7, 8, 'M'], [2, 4, 1, 10, 6, 'M'], [2, 1, 10, 6, 'M'], ['M', 5, 4, 3, 9, 7, 8]]",220.7324357,,313.81,0.393376045,,0.824824085
27,412.2810711,495.9324498,"[7, 4, 6, 1, 9, 10, 3, 5, 8, 2]","[[4, 1, 3, 8, 'M'], [7, 6, 9, 10, 5, 2, 'M'], [4, 'M', 6, 9, 3, 8, 2], [7, 1, 10, 5, 'M']]",220.640667,,203.22,0.507083846,,0.831325055
28,488.416134,586.4614056,"[1, 8, 7, 3, 2, 6, 10, 4, 9, 5]","[[1, 3, 2, 9, 5, 'M'], [8, 7, 6, 10, 4, 'M'], ['M', 8, 3, 2, 6, 9, 5], [1, 'M', 7, 10, 4]]",224.3249435,,244.97,0.498439992,,0.832818885
29,477.8834623,586.7489066,"[6, 8, 9, 7, 4, 3, 1, 10, 2, 5]","[[6, 'M', 9, 4, 3, 5], [8, 7, 1, 10, 2, 'M'], [6, 9, 1, 5, 'M'], [8, 7, 4, 3, 10, 2, 'M']]",235.4468191,,220.21,0.539197278,,0.814459911
30,533.1017118,678.0196179,"[8, 3, 7, 10, 5, 1, 6, 4, 2, 9]","[[8, 10, 5, 6, 4, 'M'], [3, 7, 1, 2, 9, 'M'], ['M', 3, 10, 5, 6, 4], [8, 7, 1, 2, 9, 'M']]",218.8394108,,227.26,0.573702363,,0.78626296
31,453.936633,597.9939403,"[6, 7, 4, 5, 2, 3, 1, 8, 9, 10]","[[7, 'M', 3, 1, 9], [6, 4, 5, 2, 8, 10, 'M'], ['M', 7, 4, 5, 2, 8], [6, 3, 1, 9, 10, 'M']]",221.1677182,,269.21,0.406943656,,0.759099052
32,454.4685261,583.7227179,"[3, 8, 4, 9, 10, 2, 6, 7, 5, 1]","[['M', 3, 8, 10, 7, 5], [4, 9, 2, 6, 1, 'M'], [4, 9, 2, 7, 5, 'M'], ['M', 3, 8, 10, 6, 1]]",223.6366489,,232.8,0.487753306,,0.778569194
33,375.7481609,512.9763271,"[8, 9, 4, 7, 5, 1, 6, 2, 3, 10]","[[9, 1, 2, 3, 10, 'M'], [8, 4, 7, 5, 'M', 6], [4, 1, 2, 3, 10, 'M'], ['M', 8, 9, 7, 5, 6]]",218.3558505,,258.3,0.312571486,,0.732486357
34,520.1095206,640.9540936,"[7, 2, 10, 3, 8, 4, 6, 1, 5, 9]","[[10, 3, 8, 4, 6, 'M'], [7, 2, 'M', 1, 5, 9], [7, 2, 3, 1, 9, 'M'], ['M', 10, 8, 4, 6, 5]]",234.8969102,,230.72,0.556401122,,0.811461423
35,396.2912532,545.8154483,"[5, 1, 4, 9, 6, 2, 10, 3, 8, 7]","[[1, 4, 2, 10, 3, 'M'], [5, 9, 6, 8, 7, 'M'], ['M', 5, 9, 2, 8, 7], [1, 4, 6, 10, 3, 'M']]",217.3547788,,247.95,0.374323814,,0.726053567
36,529.5565764,698.5111185,"[5, 2, 6, 8, 10, 9, 1, 3, 4, 7]","[[5, 8, 3, 7, 'M'], [2, 6, 10, 9, 1, 4, 'M'], ['M', 5, 8, 10, 9, 1, 4], [2, 6, 3, 7, 'M']]",214.8364816,,295.57,0.441853783,,0.7581219
37,462.2617846,571.3642086,"[10, 1, 3, 6, 4, 7, 9, 8, 5, 2]","[[3, 6, 4, 9, 'M', 2], [10, 1, 7, 8, 5, 'M'], ['M', 1, 9, 8, 5], [10, 3, 6, 4, 7, 2, 'M']]",214.6832888,,281.66,0.390691575,,0.80904925
38,344.7903208,533.5705151,"[6, 4, 7, 9, 10, 2, 8, 5, 1, 3]","[[4, 9, 10, 8, 1, 3, 'M'], [6, 7, 2, 5, 'M'], ['M', 7, 10, 8, 1], ['M', 6, 4, 9, 2, 5, 3]]",220.502248,,210.67,0.388990968,,0.646194479
39,352.4554973,425.4119219,"[10, 1, 4, 3, 7, 9, 2, 8, 6, 5]","[[1, 4, 7, 9, 8, 5, 'M'], [10, 3, 2, 'M', 6], ['M', 1, 3, 7, 9, 6, 5], [10, 4, 2, 8, 'M']]",219.0280254,,205.4,0.417231391,,0.828504043
40,408.05474,568.2487647,"[4, 8, 2, 9, 7, 10, 5, 3, 6, 1]","[[4, 2, 9, 3, 6, 1, 'M'], [8, 7, 10, 5, 'M'], [4, 8, 2, 7, 5, 1, 'M'], ['M', 9, 10, 3, 6]]",215.3403616,,171.4,0.579958316,,0.718091733
41,446.4793113,502.8541314,"[8, 2, 6, 3, 5, 1, 10, 7, 9, 4]","[[8, 3, 9, 4, 'M'], [2, 6, 5, 1, 10, 7, 'M'], ['M', 6, 3, 5, 1, 9, 4], [8, 2, 10, 7, 'M']]",219.1091645,,288.5,0.353833441,,0.887890311
42,405.9371147,507.6281105,"[2, 8, 9, 7, 10, 6, 5, 3, 4, 1]","[[8, 9, 6, 3, 1, 'M'], [2, 7, 10, 5, 4, 'M'], [2, 'M', 7, 6, 3, 1], ['M', 8, 9, 10, 5, 4]]",220.3219728,,304.87,0.248972343,,0.799674223
43,506.4041536,624.4391333,"[3, 1, 5, 6, 2, 4, 8, 7, 9, 10]","[[6, 2, 8, 9, 10, 'M'], [3, 1, 5, 4, 7, 'M'], [3, 1, 5, 8, 7, 10, 'M'], ['M', 6, 2, 4, 9]]",215.0466812,,283.22,0.440723387,,0.810974403
44,547.1461917,621.5435397,"[4, 6, 3, 1, 8, 9, 5, 2, 10, 7]","[[4, 1, 5, 'M'], [6, 3, 'M', 8, 9, 2, 10, 7], [4, 1, 8, 9, 10, 'M'], [6, 3, 5, 2, 7, 'M']]",217.5231574,,231.47,0.576950359,,0.880302274
45,282.3210695,445.6949555,"[2, 3, 7, 4, 9, 8, 5, 10, 6, 1]","[[3, 4, 9, 8, 10, 1, 'M'], [2, 7, 5, 'M', 6], [3, 7, 4, 9, 8, 1, 'M'], [2, 5, 10, 6, 'M']]",213.9595296,,161.43,0.428204206,,0.633440128
46,448.3229812,541.5119761,"[2, 3, 6, 10, 9, 1, 8, 4, 5, 7]","[[2, 3, 10, 9, 4, 'M'], [6, 1, 8, 5, 7, 'M'], [6, 1, 4, 'M'], ['M', 2, 3, 10, 9, 8, 5, 7]]",216.6785223,,290.68,0.351628152,,0.827909632
47,385.0786646,532.7665006,"[8, 3, 9, 1, 5, 7, 2, 4, 6, 10]","[[3, 1, 5, 7, 6, 'M'], [8, 9, 2, 4, 10, 'M'], ['M', 3, 9, 2, 4, 6], [8, 1, 5, 7, 10, 'M']]",215.3869309,,188.75,0.509840411,,0.722790686
48,398.3138909,558.0319716,"[7, 1, 5, 8, 10, 4, 2, 6, 3, 9]","[[1, 8, 4, 2, 6, 9, 'M'], [7, 5, 10, 3, 'M'], ['M', 5, 10, 4, 3, 9], [7, 1, 8, 2, 6, 'M']]",213.5139539,,284.24,0.286391947,,0.71378328
49,418.1629806,540.0423692,"[4, 1, 6, 7, 8, 9, 5, 3, 2, 10]","[[4, 'M', 9, 5, 3], [1, 6, 7, 8, 2, 10, 'M'], ['M', 4, 6, 7, 8, 3, 10], [1, 9, 5, 2, 'M']]",218.5440466,,237.94,0.430987412,,0.774315136
,,,,,,,,,,
,,,,,,,,0.426864497,,0.772475028
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
